hnid	warning
3069754	H300+H310+H330: Fatal if swallowed, in contact with skin or if inhaled [Danger Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]
3069753	H300+H310: Fatal if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]
3069755	H300+H330: Fatal if swallowed or if inhaled [Danger Acute toxicity, oral; acute toxicity, inhalation]
3069752	H300: Fatal if swallowed [Danger Acute toxicity, oral]
3069758	H301+H311+H331: Toxic if swallowed, in contact with skin or if inhaled [Danger Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]
3069757	H301+H311: Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]
3069759	H301+H331: Toxic if swallowed or if inhaled [Danger Acute toxicity, oral; acute toxicity, inhalation]
3069756	H301: Toxic if swallowed [Danger Acute toxicity, oral]
3069762	H302+H312+H332: Harmful if swallowed, in contact with skin or if inhaled [Warning Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]
3069761	H302+H312: Harmful if swallowed or in contact with skin [Warning Acute toxicity, oral; acute toxicity, dermal]
3069763	H302+H332: Harmful if swallowed or if inhaled [Warning Acute toxicity, oral; acute toxicity, inhalation]
3069760	H302: Harmful if swallowed [Warning Acute toxicity, oral]
3069765	H303+H313+H333: May be harmful if swallowed, in contact with skin or if inhaled [Warning Acute toxicity, oral; acute toxicity, dermal; acute toxicity, inhalation]
3069766	H303+H333: May be harmful if swallowed or if inhaled [Warning Acute toxicity, oral; acute toxicity, inhalation]
3069764	H303: May be harmful if swallowed [Warning Acute toxicity, oral]
3069767	H304: May be fatal if swallowed and enters airways [Danger Aspiration hazard]
3069768	H305: May be harmful if swallowed and enters airways [Warning Aspiration hazard]
3069770	H310+H330: Fatal in contact with skin or if inhaled [Danger Acute toxicity, dermal; acute toxicity, inhalation]
3069769	H310: Fatal in contact with skin [Danger Acute toxicity, dermal]
3069772	H311+H331: Toxic in contact with skin or if inhaled. [Danger Acute toxicity, dermal; acute toxicity, inhalation]
3069771	H311: Toxic in contact with skin [Danger Acute toxicity, dermal]
3069774	H312+H332: Harmful in contact with skin or if inhaled [Warning Acute toxicity, dermal; acute toxicity, inhalation]
3069773	H312: Harmful in contact with skin [Warning Acute toxicity, dermal]
3966264	H313+H333: May be harmful in contact with skin or if inhaled [Warning Acute toxicity, dermal; acute toxicity, inhalation]
3069775	H313: May be harmful in contact with skin [Warning Acute toxicity, dermal]
3069776	H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]
3069778	H315+H320: Cause skin and eye irritation [Warning Skin corrosion/irritation and serious eye damage/eye irritation]
3069777	H315: Causes skin irritation [Warning Skin corrosion/irritation]
3069779	H316: Causes mild skin irritation [Warning Skin corrosion/irritation]
3069780	H317: May cause an allergic skin reaction [Warning Sensitization, Skin]
3069781	H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]
3069782	H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]
3069783	H320: Causes eye irritation [Warning Serious eye damage/eye irritation]
3069784	H330: Fatal if inhaled [Danger Acute toxicity, inhalation]
3069785	H331: Toxic if inhaled [Danger Acute toxicity, inhalation]
3069786	H332: Harmful if inhaled [Warning Acute toxicity, inhalation]
3069787	H333: May be harmful if inhaled [Warning Acute toxicity, inhalation]
3069788	H334: May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization, respiratory]
3069789	H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
3069790	H336: May cause drowsiness or dizziness [Warning Specific target organ toxicity, single exposure; Narcotic effects]
3069791	H340: May cause genetic defects [Danger Germ cell mutagenicity]
3069792	H341: Suspected of causing genetic defects [Warning Germ cell mutagenicity]
3069793	H350: May cause cancer [Danger Carcinogenicity]
3069794	H350i: May cause cancer by inhalation [Danger Carcinogenicity]
3069795	H351: Suspected of causing cancer [Warning Carcinogenicity]
3069796	H360: May damage fertility or the unborn child [Danger Reproductive toxicity]
3069797	H360D: May damage the unborn child [Danger Reproductive toxicity]
3069798	H360Df: May damage the unborn child; Suspected of damaging fertility [Danger Reproductive toxicity]
3069799	H360F: May damage fertility [Danger Reproductive toxicity]
3069800	H360FD: May damage fertility; May damage the unborn child [Danger Reproductive toxicity]
3069801	H360Fd: May damage fertility; Suspected of damaging the unborn child [Danger Reproductive toxicity]
3069802	H361: Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
3069803	H361d: Suspected of damaging the unborn child [Warning Reproductive toxicity]
3069804	H361f: Suspected of damaging fertility [Warning Reproductive toxicity]
3069805	H361fd: Suspected of damaging fertility; Suspected of damaging the unborn child [Warning Reproductive toxicity]
3069806	H362: May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]
3069807	H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]
3069808	H371: May cause damage to organs [Warning Specific target organ toxicity, single exposure]
3069809	H372: Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
3069810	H373: May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]
